Train step=19000, hour=15, Loss = 1.1506550436024554e-05
Train step=19100, hour=16, Loss = 1.0040902452601586e-05
Train step=19200, hour=16, Loss = 7.79850142862415e-06
Train step=19300, hour=16, Loss = 7.713517334195785e-06
Train step=19400, hour=16, Loss = 7.2351367634837516e-06
Train step=19500, hour=16, Loss = 6.669001777481753e-06
Train step=19600, hour=16, Loss = 6.79443655826617e-06
Train step=19700, hour=16, Loss = 6.565787771251053e-06
Train step=19800, hour=16, Loss = 6.932396900083404e-06
Train step=19900, hour=16, Loss = 6.706859039695701e-06
Train step=20000, hour=16, Loss = 8.353461453225464e-06
Train step=20100, hour=16, Loss = 6.885710718051996e-06
Train step=20200, hour=16, Loss = 6.5241770244028885e-06
Train step=20300, hour=17, Loss = 3.673637911560945e-05
Train step=20400, hour=17, Loss = 2.4987555661937222e-05
Train step=20500, hour=17, Loss = 2.1779225789941847e-05
Train step=20600, hour=17, Loss = 1.6606129065621644e-05
Train step=20700, hour=17, Loss = 1.3049492736172397e-05
Train step=20800, hour=17, Loss = 1.4364301932801027e-05
Train step=20900, hour=17, Loss = 9.94455513136927e-06
Train step=21000, hour=17, Loss = 9.582710845279507e-06
Train step=21100, hour=17, Loss = 8.74910801940132e-06
Train step=21200, hour=17, Loss = 8.486686965625267e-06
Train step=21300, hour=18, Loss = 0.0006988487439230084
Train step=21400, hour=18, Loss = 5.898547169636004e-05
Train step=21500, hour=18, Loss = 3.4690852771745995e-05
Train step=21600, hour=18, Loss = 2.7715144824469462e-05
Train step=21700, hour=18, Loss = 1.925419201143086e-05
Train step=21800, hour=18, Loss = 2.4099970687530003e-05
Train step=21900, hour=18, Loss = 1.67683647305239e-05
Train step=22000, hour=18, Loss = 1.5970981621649116e-05
Train step=22100, hour=18, Loss = 1.0391038813395426e-05
Train step=22200, hour=18, Loss = 1.0150801244890317e-05
Train step=22300, hour=19, Loss = 6.992015551077202e-05
Train step=22400, hour=19, Loss = 2.7839198082801886e-05
Train step=22500, hour=19, Loss = 3.236684642615728e-05
Train step=22600, hour=19, Loss = 2.2230029571801424e-05
Train step=22700, hour=19, Loss = 1.4698280210723169e-05
Train step=22800, hour=19, Loss = 1.1265425200690515e-05
Train step=22900, hour=19, Loss = 1.4083460882829968e-05
Train step=23000, hour=19, Loss = 1.1666964383039158e-05
Train step=23100, hour=19, Loss = 9.753221092978492e-06
Train step=23200, hour=20, Loss = 0.0005194443510845304
Train step=23300, hour=20, Loss = 8.222060387197416e-06
Train step=23400, hour=20, Loss = 8.252734915004112e-06
Train step=23500, hour=20, Loss = 7.353587534453254e-06
Train step=23600, hour=20, Loss = 7.174754045990994e-06
Train step=23700, hour=20, Loss = 7.029004336800426e-06
Train step=23800, hour=20, Loss = 6.734767339366954e-06
Train step=23900, hour=20, Loss = 6.7140213104721624e-06
Train step=24000, hour=20, Loss = 6.690620011795545e-06
Train step=24100, hour=21, Loss = 4.205504956189543e-05
Train step=24200, hour=21, Loss = 1.746108137012925e-05
Train step=24300, hour=21, Loss = 1.104449802369345e-05
Train step=24400, hour=21, Loss = 7.246046152431518e-06
Train step=24500, hour=21, Loss = 7.041377102723345e-06
Train step=24600, hour=21, Loss = 6.796357865823666e-06
Train step=24700, hour=21, Loss = 6.710561592626618e-06
Train step=24800, hour=21, Loss = 6.883035894134082e-06
Train step=24900, hour=21, Loss = 6.724866580043454e-06
Train step=25000, hour=22, Loss = 1.5575486031593755e-05
Train step=25100, hour=22, Loss = 7.559952791780233e-06
Train step=25200, hour=22, Loss = 7.549287147412542e-06
Train step=25300, hour=22, Loss = 7.066648322506808e-06
Train step=25400, hour=22, Loss = 6.8521885623340495e-06
Train step=25500, hour=22, Loss = 6.802602001698688e-06
Train step=25600, hour=22, Loss = 6.617114195250906e-06
Train step=25700, hour=22, Loss = 6.874090104247443e-06
Train step=25800, hour=22, Loss = 6.4351306718890555e-06
Train step=25900, hour=22, Loss = 6.571374342456693e-06
Train step=26000, hour=22, Loss = 6.5685917434166186e-06
Train step=26100, hour=22, Loss = 6.8264826040831394e-06
Train step=26200, hour=23, Loss = 1.775382406776771e-05
Train step=26300, hour=23, Loss = 8.31071702123154e-06
Train step=26400, hour=23, Loss = 7.5292914516467135e-06
Train step=26500, hour=23, Loss = 7.1322165240417235e-06
Train step=26600, hour=23, Loss = 7.186004950199276e-06
Train step=100, hour=0, Loss = 2.6035155315184966e-05
Train step=200, hour=0, Loss = 2.033099917753134e-05
Train step=300, hour=0, Loss = 2.4546217900933698e-05
Train step=400, hour=0, Loss = 2.0629609934985638e-05
Train step=500, hour=0, Loss = 1.4427445421461016e-05
Train step=600, hour=1, Loss = 0.0003684000112116337
Train step=700, hour=1, Loss = 9.58227064984385e-06
Train step=800, hour=1, Loss = 8.007997166714631e-06
Train step=900, hour=1, Loss = 7.379949693131493e-06
Train step=1000, hour=1, Loss = 7.198351340775844e-06
Train step=1100, hour=1, Loss = 7.066836587910075e-06
Train step=1200, hour=2, Loss = 7.135165651561692e-05
Train step=1300, hour=2, Loss = 2.333096563233994e-05
Train step=1400, hour=2, Loss = 3.371705679455772e-05
Train step=1500, hour=2, Loss = 2.5209044906659983e-05
Train step=1600, hour=2, Loss = 1.889815575850662e-05
Train step=1700, hour=2, Loss = 1.2569584214361385e-05
Train step=1800, hour=2, Loss = 1.2529064406407997e-05
Train step=1900, hour=3, Loss = 0.00013883593783248216
Train step=2000, hour=3, Loss = 1.2414823686413001e-05
Train step=2100, hour=3, Loss = 9.348077583126724e-06
Train step=2200, hour=3, Loss = 7.813881893525831e-06
Train step=2300, hour=3, Loss = 8.23994014353957e-06
Train step=2400, hour=3, Loss = 7.894257578300312e-06
Train step=2500, hour=3, Loss = 7.069450020935619e-06
Train step=2600, hour=3, Loss = 7.216353878902737e-06
Train step=2700, hour=4, Loss = 1.5700436051702127e-05
Train step=2800, hour=4, Loss = 1.0877736713155173e-05
Train step=2900, hour=4, Loss = 9.040384611580521e-06
Train step=3000, hour=4, Loss = 7.651402484043501e-06
Train step=3100, hour=4, Loss = 7.913477020338178e-06
Train step=3200, hour=4, Loss = 7.450240445905365e-06
Train step=3300, hour=4, Loss = 6.977760222071083e-06
Train step=3400, hour=5, Loss = 6.570034747710451e-05
Train step=3500, hour=5, Loss = 2.17927954508923e-05
Train step=3600, hour=5, Loss = 3.0093578970991075e-05
Train step=3700, hour=5, Loss = 1.6277013855869882e-05
Train step=3800, hour=5, Loss = 1.5979245290509425e-05
Train step=3900, hour=5, Loss = 1.3545130968850572e-05
Train step=4000, hour=5, Loss = 1.254950348084094e-05
Train step=4100, hour=5, Loss = 1.0017595741373952e-05
Train step=4200, hour=6, Loss = 1.52883367263712e-05
Train step=4300, hour=6, Loss = 9.81221364781959e-06
Train step=4400, hour=6, Loss = 8.310258635901846e-06
Train step=4500, hour=6, Loss = 8.069951945799403e-06
Train step=4600, hour=6, Loss = 8.083215107035358e-06
Train step=4700, hour=7, Loss = 0.00029481283854693174
Train step=4800, hour=7, Loss = 2.6656538466340862e-05
Train step=4900, hour=7, Loss = 2.3905933630885556e-05
Train step=5000, hour=7, Loss = 1.4391436707228422e-05
Train step=5100, hour=7, Loss = 1.006355796562275e-05
Train step=5200, hour=7, Loss = 1.0581790775177069e-05
Train step=5300, hour=7, Loss = 9.44824205362238e-06
Train step=5400, hour=8, Loss = 1.5696961781941354e-05
Train step=5500, hour=8, Loss = 7.785206435073633e-06
Train step=5600, hour=8, Loss = 7.687636752962135e-06
Train step=5700, hour=8, Loss = 7.68543395679444e-06
Train step=5800, hour=8, Loss = 7.170436674641678e-06
Train step=5900, hour=8, Loss = 6.834828127466608e-06
Train step=6000, hour=8, Loss = 6.837482033006381e-06
Train step=6100, hour=9, Loss = 1.0763395948742982e-05
Train step=6200, hour=9, Loss = 8.359495041077025e-06
Train step=6300, hour=9, Loss = 7.697148248553276e-06
Train step=6400, hour=9, Loss = 7.807138899806887e-06
Train step=6500, hour=9, Loss = 7.558225661341567e-06
Train step=6600, hour=9, Loss = 7.201383141364204e-06
Train step=6700, hour=10, Loss = 0.012782527133822441
Train step=6800, hour=10, Loss = 2.2096523025538772e-05
Train step=6900, hour=10, Loss = 1.2490208973758854e-05
Train step=7000, hour=10, Loss = 1.1579135389183648e-05
Train step=7100, hour=10, Loss = 9.362858691019937e-06
Train step=7200, hour=10, Loss = 8.91347008291632e-06
Train step=7300, hour=10, Loss = 8.571343641960993e-06
Train step=7400, hour=11, Loss = 0.0023423125967383385
Train step=7500, hour=11, Loss = 1.4415001714951359e-05
Train step=7600, hour=11, Loss = 1.1602216545725241e-05
Train step=7700, hour=11, Loss = 8.670824172440916e-06
Train step=7800, hour=11, Loss = 8.509923645760864e-06
Train step=7900, hour=11, Loss = 8.385584806092083e-06
Train step=8000, hour=12, Loss = 0.0007434087456203997
Train step=8100, hour=12, Loss = 1.455603887734469e-05
Train step=8200, hour=12, Loss = 9.018348464451265e-06
Train step=8300, hour=12, Loss = 7.56378312871675e-06
Train step=8400, hour=12, Loss = 7.381474460999016e-06
Train step=8500, hour=12, Loss = 7.641004231118131e-06
Train step=8600, hour=12, Loss = 7.165360784711083e-06
Train step=8700, hour=13, Loss = 7.388867743429728e-06
Train step=8800, hour=13, Loss = 6.748376108589582e-06
Train step=8900, hour=13, Loss = 6.841728463768959e-06
Train step=9000, hour=13, Loss = 6.602253506571287e-06
Train step=9100, hour=13, Loss = 6.697894605167676e-06
Train step=9200, hour=13, Loss = 6.493194632639643e-06
Train step=9300, hour=14, Loss = 1.7788976037991233e-05
Train step=9400, hour=14, Loss = 1.183598578791134e-05
Train step=9500, hour=14, Loss = 8.983710358734243e-06
Train step=9600, hour=14, Loss = 8.4536668509827e-06
Train step=9700, hour=14, Loss = 8.013905244297348e-06
Train step=9800, hour=14, Loss = 7.72092244005762e-06
Train step=9900, hour=15, Loss = 8.28524207463488e-06
Train step=10000, hour=15, Loss = 7.756403647363186e-06
Train step=10100, hour=15, Loss = 7.121683665900491e-06
Train step=10200, hour=15, Loss = 7.161027497204486e-06
Train step=10300, hour=15, Loss = 6.775696419936139e-06
Train step=10400, hour=16, Loss = 7.805298082530499e-05
Train step=10500, hour=16, Loss = 8.106225322990213e-06
Train step=10600, hour=16, Loss = 7.447741154464893e-06
Train step=10700, hour=16, Loss = 7.430965524690691e-06
Train step=10800, hour=16, Loss = 7.094282409525476e-06
Train step=10900, hour=16, Loss = 6.9982543209334835e-06
Train step=11000, hour=17, Loss = 0.00017971124907489866
Train step=11100, hour=17, Loss = 3.499673039186746e-05
Train step=11200, hour=17, Loss = 4.0440030716126785e-05
Train step=11300, hour=17, Loss = 2.1823327188030817e-05
Train step=11400, hour=17, Loss = 1.612298729014583e-05
Train step=11500, hour=18, Loss = 2.0059742382727563e-05
Train step=11600, hour=18, Loss = 8.870492820278741e-06
Train step=11700, hour=18, Loss = 9.24360028875526e-06
Train step=11800, hour=18, Loss = 9.324113307229709e-06
Train step=11900, hour=18, Loss = 7.68120116845239e-06
Train step=12000, hour=18, Loss = 7.928935701784212e-06
Train step=12100, hour=19, Loss = 7.699347042944282e-05
Train step=12200, hour=19, Loss = 4.1010491258930415e-05
Train step=12300, hour=19, Loss = 1.711873301246669e-05
Train step=12400, hour=19, Loss = 2.9763696147711016e-05
Train step=12500, hour=19, Loss = 1.0785877748276107e-05
Train step=12600, hour=19, Loss = 1.1282034392934293e-05
Train step=12700, hour=20, Loss = 1.7131083950516768e-05
Train step=12800, hour=20, Loss = 1.123445872508455e-05
Train step=12900, hour=20, Loss = 9.144016075879335e-06
Train step=13000, hour=20, Loss = 9.377245078212582e-06
Train step=13100, hour=20, Loss = 8.652285032439977e-06
Train step=13200, hour=20, Loss = 9.141644113697112e-06
Train step=13300, hour=21, Loss = 1.675018938840367e-05
Train step=13400, hour=21, Loss = 9.488736395724118e-06
Train step=13500, hour=21, Loss = 7.5182251748628914e-06
Train step=13600, hour=21, Loss = 7.805643690517172e-06
Train step=13700, hour=21, Loss = 7.604825441376306e-06
Train step=13800, hour=21, Loss = 8.519149560015649e-06
Train step=13900, hour=22, Loss = 2.791488077491522e-05
Train step=14000, hour=22, Loss = 1.297390008403454e-05
Train step=14100, hour=22, Loss = 1.1628004358499311e-05
Train step=14200, hour=22, Loss = 1.1584857020352501e-05
Train step=14300, hour=22, Loss = 8.673972843098454e-06
Train step=14400, hour=23, Loss = 1.4771302630833816e-05
Train step=14500, hour=23, Loss = 7.948019629111513e-06
Train step=14600, hour=23, Loss = 7.54523352952674e-06
Train step=100, hour=0, Loss = 2.5403380277566612e-05
Train step=200, hour=0, Loss = 2.176823909394443e-05
Train step=300, hour=0, Loss = 1.5077598618518095e-05
Train step=400, hour=0, Loss = 2.3940789105836302e-05
Train step=500, hour=1, Loss = 0.00011578286648727953
Train step=600, hour=1, Loss = 6.320325337583199e-05
Train step=700, hour=1, Loss = 8.31317956908606e-05
Train step=800, hour=2, Loss = 0.00411615613847971
Train step=900, hour=2, Loss = 4.662374340114184e-05
Train step=1000, hour=2, Loss = 3.056086279684678e-05
Train step=1100, hour=2, Loss = 3.981047484558076e-05
Train step=1200, hour=3, Loss = 2.101787868014071e-05
Train step=1300, hour=3, Loss = 1.1745639312721323e-05
Train step=1400, hour=3, Loss = 8.465663995593786e-06
Train step=1500, hour=4, Loss = 0.00013660028344020247
Train step=1600, hour=4, Loss = 2.2753330995328724e-05
Train step=1700, hour=4, Loss = 2.7277863409835845e-05
Train step=1800, hour=4, Loss = 3.140883563901298e-05
Train step=1900, hour=5, Loss = 4.1660423448774964e-05
Train step=2000, hour=5, Loss = 1.2307631550356746e-05
Train step=2100, hour=5, Loss = 9.597013558959588e-06
Train step=2200, hour=5, Loss = 7.712074875598773e-06
Train step=2300, hour=6, Loss = 0.00020598535775206983
Train step=2400, hour=6, Loss = 3.50402006006334e-05
Train step=2500, hour=6, Loss = 1.6546233382541686e-05
Train step=2600, hour=7, Loss = 2.0245050109224394e-05
Train step=2700, hour=7, Loss = 1.1362209079379681e-05
Train step=2800, hour=8, Loss = 0.004189150407910347
Train step=2900, hour=8, Loss = 1.8464739696355537e-05
Train step=3000, hour=8, Loss = 1.0148840374313295e-05
Train step=3100, hour=8, Loss = 9.022562153404579e-06
Train step=3200, hour=8, Loss = 8.870572855812497e-06
Train step=3300, hour=9, Loss = 3.248489156248979e-05
Train step=3400, hour=9, Loss = 1.5871162759140134e-05
Train step=3500, hour=9, Loss = 1.1886312677233946e-05
Train step=3600, hour=9, Loss = 8.303313734359108e-06
Train step=3700, hour=10, Loss = 3.319642928545363e-05
Train step=3800, hour=10, Loss = 1.0496223694644868e-05
Train step=3900, hour=10, Loss = 8.011374120542314e-06
Train step=4000, hour=10, Loss = 7.534664291597437e-06
Train step=4100, hour=10, Loss = 8.032947334868368e-06
Train step=4200, hour=11, Loss = 7.034296868368983e-05
Train step=4300, hour=11, Loss = 1.990016426134389e-05
Train step=4400, hour=11, Loss = 1.4650440789409913e-05
Train step=4500, hour=11, Loss = 1.2927143870911095e-05
Train step=4600, hour=12, Loss = 0.00046009011566638947
Train step=4700, hour=12, Loss = 3.324206409160979e-05
Train step=4800, hour=12, Loss = 1.3924507584306411e-05
Train step=4900, hour=12, Loss = 1.1345717211952433e-05
Train step=5000, hour=12, Loss = 1.0819267117767595e-05
Train step=5100, hour=13, Loss = 1.4244916201278102e-05
Train step=5200, hour=13, Loss = 8.117525794659741e-06
Train step=5300, hour=13, Loss = 8.050663382164203e-06
Train step=5400, hour=13, Loss = 7.399301011901116e-06
Train step=5500, hour=13, Loss = 7.337715032917913e-06
Train step=5600, hour=14, Loss = 8.789544153842144e-06
Train step=5700, hour=14, Loss = 7.455924333044095e-06
Train step=5800, hour=14, Loss = 7.33809838493471e-06
Train step=5900, hour=14, Loss = 7.116404049156699e-06
Train step=6000, hour=15, Loss = 1.2062128007528372e-05
Train step=6100, hour=15, Loss = 8.260825779871084e-06
Train step=6200, hour=15, Loss = 8.221012649300974e-06
Train step=6300, hour=15, Loss = 7.483728040824644e-06
Train step=6400, hour=16, Loss = 4.81537681480404e-05
Train step=6500, hour=16, Loss = 2.6621826691552997e-05
Train step=6600, hour=16, Loss = 1.8324042684980668e-05
Train step=6700, hour=16, Loss = 1.8213175280834548e-05
Train step=6800, hour=17, Loss = 5.761805368820205e-05
Train step=6900, hour=17, Loss = 9.041001248988323e-06
Train step=7000, hour=17, Loss = 7.787530194036663e-06
Train step=7100, hour=17, Loss = 7.2498123699915595e-06
Train step=7200, hour=17, Loss = 7.574610663141357e-06
Train step=7300, hour=18, Loss = 2.0189232600387186e-05
Train step=7400, hour=18, Loss = 2.0548905013129115e-05
Train step=7500, hour=18, Loss = 1.5339832316385582e-05
Train step=7600, hour=18, Loss = 1.6715692254365422e-05
Train step=7700, hour=19, Loss = 6.26237306278199e-05
Train step=7800, hour=19, Loss = 1.5119840099941939e-05
Train step=7900, hour=19, Loss = 1.098125630960567e-05
Train step=8000, hour=19, Loss = 1.0828804079210386e-05
Train step=8100, hour=20, Loss = 0.00012472234084270895
Train step=8200, hour=20, Loss = 5.636900823446922e-05
Train step=8300, hour=20, Loss = 2.929817492258735e-05
Train step=8400, hour=20, Loss = 2.003594272537157e-05
